country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
FI,2015,210192.0,5471753.0,Finland,38414.014667694246,41487.13584110979,,1.2868
FI,2016,215717.0,5487308.0,Finland,39311.99050609151,42456.94974657884,,1.3233
FI,2017,224706.0,5503297.0,Finland,40831.159939214616,44097.65273435179,,1.3204
FI,2018,231905.0,5513130.0,Finland,42064.126911572916,45429.25706449875,,1.3252
FI,2019,238518.0,5517919.0,Finland,43226.078527067904,46684.16480923334,,1.3228
FI,2020,236387.0,5525292.0,Finland,42782.71627997217,46205.333582369945,,1.3626
FI,2021,248764.0,5533793.0,Finland,44953.61499788662,48549.90419771756,,1.2734
FI,2022,266135.0,5548241.0,Finland,47967.454910484244,51804.85130332299,,1.2191
FI,2023,273005.0,5563970.0,Finland,49066.583752248844,52991.910452428754,,1.1478
FI,2024,275993.0,5603851.0,Finland,49250.59570641689,53190.64336293025,,1.0784
FI,2025,280570.0,5635971.0,Finland,49782.01626658477,53764.577567911554,,1.1469
FR,1991,1018584.6,58313439.0,France,17467.40747017167,18864.800067785407,,0.9065
FR,1992,1074162.7,58604851.0,France,18328.90420624054,19795.216542739785,,0.959
FR,1993,1122160.5,58885929.0,France,19056.513483891882,20581.034562603232,,0.9821
FR,1994,1168854.1,59104320.0,France,19776.119579753224,21358.209146133482,,0.9636
FR,1995,1220222.9,59315139.0,France,20571.862775201454,22217.61179721757,,1.5233
FR,1996,1259758.8,59522297.0,France,21164.48563804586,22857.64448908953,,1.4953
FR,1997,1279326.6,59726386.0,France,21419.789236870954,23133.372375820632,,1.432
FR,1998,1337784.3,59934884.0,France,22320.62883445307,24106.279141209317,,1.4259
FR,1999,1395148.0,60158533.0,France,23191.19051656396,25046.485757889077,,1.4253
FR,2000,1473517.3,60545022.0,France,24337.546693764518,26284.55042926568,,1.4712
FR,2001,1530070.9,60979315.0,France,25091.63804152277,27098.969084844593,,1.4673
FR,2002,1578330.4,61424036.0,France,25695.64787308994,27751.299702937136,,1.4355
FR,2003,1622312.8,61864088.0,France,26223.821484283417,28321.727203026094,,1.4351
FR,2004,1696107.7,62292241.0,France,27228.233769916867,29406.492471510217,,1.4147
FR,2005,1762047.7,62772870.0,France,28070.21090480649,30315.82777719101,,1.3642
FR,2006,1846020.8,63229635.0,France,29195.499863315676,31531.139852380933,,1.3579
FR,2007,1937876.3,63645065.0,France,30448.178503706455,32884.03278400297,,1.3205
FR,2008,1989999.7,64007193.0,France,31090.251059751987,33577.471144532145,,1.3611
FR,2009,1935840.2,64350226.0,France,30082.881138599263,32489.511629687207,,1.4115
