idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
99,"DATA ANALYST – We have tons of data, what can you do with it ?",Reflex Leads,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
100,Fraud Data Analyst (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
101,Data Analyst - Acquisition (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
102,Senior Global Data Analyst,The Valley Talent,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
103,Crew Data Analyst,Norwegian,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
104,Business Data Analyst for Tax Engine,Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
105,Data Analyst - Food Innovation,Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
106,Data Analyst - Talent Team (m/f/d),TIER Mobility,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
107,Data Analyst - Food Innovation (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
108,Data Engineer,Remote,,Total Nacional,data_engineer,Mid,43500.0,1.0,True,True,
109,Senior Data Analyst,Tilting Point,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
110,Business Intelligence Analyst (Barcelona),Rover.com,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
111,JUNIOR DATA ENGINEER,Eurecat - Centro Tecnológico de Catalunya,Catalonia,Catalonia,data_engineer,Junior,33297.1,1.0741,True,True,28590.0
112,Data Analyst - Q-Commerce - Sales,Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
113,Lead Data Analyst - Crypto,Revolut,,Total Nacional,data_analyst,Senior,49000.0,1.0,True,False,
114,Senior Data Scientist - Pricing analytics,HP,Catalonia,Catalonia,data_scientist,Senior,67131.25,1.0741,True,False,28590.0
115,Data Engineer,Accenture España,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
116,Head of Data Analytics (They /She/ He),Glovo,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
117,Business Intelligence Consultant,Schneider Electric,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
118,Business Intelligence Analyst,Pronovias,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
119,Data Analyst - Delivery Flow Team (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
