sector,sector_id,year,sexo,salario_bruto_anual,muestra_pequena
F Construccion,F,2024,Mujeres,25817.08,False
F Construccion,F,2024,Hombres,27131.83,False
F Construccion,F,2023,Ambos sexos,25469.87,False
F Construccion,F,2023,Mujeres,25326.53,False
F Construccion,F,2023,Hombres,25489.41,False
F Construccion,F,2022,Ambos sexos,25149.41,False
F Construccion,F,2022,Mujeres,26258.91,False
F Construccion,F,2022,Hombres,25001.32,False
F Construccion,F,2021,Ambos sexos,24136.94,False
F Construccion,F,2021,Mujeres,22640.24,False
F Construccion,F,2021,Hombres,24361.97,False
F Construccion,F,2020,Ambos sexos,23104.64,False
F Construccion,F,2020,Mujeres,21188.0,False
F Construccion,F,2020,Hombres,23402.34,False
F Construccion,F,2019,Ambos sexos,22789.3,False
F Construccion,F,2019,Mujeres,21388.78,False
F Construccion,F,2019,Hombres,22997.41,False
F Construccion,F,2018,Ambos sexos,22971.05,False
F Construccion,F,2018,Mujeres,21919.0,False
F Construccion,F,2018,Hombres,23118.32,False
F Construccion,F,2017,Ambos sexos,22607.96,False
F Construccion,F,2017,Mujeres,20588.67,False
F Construccion,F,2017,Hombres,22927.3,False
F Construccion,F,2016,Ambos sexos,22163.46,False
F Construccion,F,2016,Mujeres,20361.67,False
F Construccion,F,2016,Hombres,22460.86,False
F Construccion,F,2015,Ambos sexos,22660.82,False
F Construccion,F,2015,Mujeres,20060.54,False
F Construccion,F,2015,Hombres,23113.93,False
F Construccion,F,2014,Ambos sexos,22608.41,False
F Construccion,F,2014,Mujeres,21483.17,False
F Construccion,F,2014,Hombres,22783.0,False
F Construccion,F,2013,Ambos sexos,22720.53,False
F Construccion,F,2013,Mujeres,20636.21,False
F Construccion,F,2013,Hombres,23067.15,False
F Construccion,F,2012,Ambos sexos,22686.24,False
F Construccion,F,2012,Mujeres,21441.66,False
F Construccion,F,2012,Hombres,22910.95,False
F Construccion,F,2011,Ambos sexos,22541.0,False
F Construccion,F,2011,Mujeres,21029.69,False
F Construccion,F,2011,Hombres,22783.96,False
F Construccion,F,2010,Ambos sexos,21962.13,False
F Construccion,F,2010,Mujeres,20189.84,False
F Construccion,F,2010,Hombres,22239.83,False
F Construccion,F,2009,Ambos sexos,21774.7,False
F Construccion,F,2009,Mujeres,20011.47,False
F Construccion,F,2009,Hombres,22067.19,False
F Construccion,F,2008,Ambos sexos,20706.74,False
F Construccion,F,2008,Mujeres,19873.24,False
F Construccion,F,2008,Hombres,20844.73,False
G Comercio; reparacion de vehiculos,G,2024,Ambos sexos,25778.97,False
G Comercio; reparacion de vehiculos,G,2024,Mujeres,22673.6,False
G Comercio; reparacion de vehiculos,G,2024,Hombres,28938.65,False
G Comercio; reparacion de vehiculos,G,2023,Ambos sexos,24137.4,False
G Comercio; reparacion de vehiculos,G,2023,Mujeres,21130.85,False
G Comercio; reparacion de vehiculos,G,2023,Hombres,27243.61,False
G Comercio; reparacion de vehiculos,G,2022,Ambos sexos,23209.55,False
G Comercio; reparacion de vehiculos,G,2022,Mujeres,20084.02,False
G Comercio; reparacion de vehiculos,G,2022,Hombres,26378.32,False
G Comercio; reparacion de vehiculos,G,2021,Ambos sexos,22215.28,False
G Comercio; reparacion de vehiculos,G,2021,Mujeres,19026.11,False
G Comercio; reparacion de vehiculos,G,2021,Hombres,25298.04,False
G Comercio; reparacion de vehiculos,G,2020,Ambos sexos,21393.49,False
G Comercio; reparacion de vehiculos,G,2020,Mujeres,18243.62,False
G Comercio; reparacion de vehiculos,G,2020,Hombres,24411.89,False
G Comercio; reparacion de vehiculos,G,2019,Ambos sexos,21120.76,False
G Comercio; reparacion de vehiculos,G,2019,Mujeres,17981.78,False
G Comercio; reparacion de vehiculos,G,2019,Hombres,24237.93,False
G Comercio; reparacion de vehiculos,G,2018,Ambos sexos,21006.17,False
G Comercio; reparacion de vehiculos,G,2018,Mujeres,17741.19,False
G Comercio; reparacion de vehiculos,G,2018,Hombres,24277.23,False
G Comercio; reparacion de vehiculos,G,2017,Ambos sexos,20608.77,False
G Comercio; reparacion de vehiculos,G,2017,Mujeres,17377.72,False
G Comercio; reparacion de vehiculos,G,2017,Hombres,23829.7,False
G Comercio; reparacion de vehiculos,G,2016,Ambos sexos,19781.4,False
G Comercio; reparacion de vehiculos,G,2016,Mujeres,16726.51,False
G Comercio; reparacion de vehiculos,G,2016,Hombres,22826.01,False
G Comercio; reparacion de vehiculos,G,2015,Ambos sexos,19651.05,False
G Comercio; reparacion de vehiculos,G,2015,Mujeres,16481.34,False
G Comercio; reparacion de vehiculos,G,2015,Hombres,22903.7,False
G Comercio; reparacion de vehiculos,G,2014,Ambos sexos,19771.86,False
G Comercio; reparacion de vehiculos,G,2014,Mujeres,16528.98,False
G Comercio; reparacion de vehiculos,G,2014,Hombres,22987.94,False
G Comercio; reparacion de vehiculos,G,2013,Ambos sexos,19069.16,False
G Comercio; reparacion de vehiculos,G,2013,Mujeres,16297.15,False
G Comercio; reparacion de vehiculos,G,2013,Hombres,22043.76,False
G Comercio; reparacion de vehiculos,G,2012,Ambos sexos,19473.68,False
G Comercio; reparacion de vehiculos,G,2012,Mujeres,16446.74,False
G Comercio; reparacion de vehiculos,G,2012,Hombres,22702.32,False
G Comercio; reparacion de vehiculos,G,2011,Ambos sexos,19444.62,False
G Comercio; reparacion de vehiculos,G,2011,Mujeres,16140.67,False
G Comercio; reparacion de vehiculos,G,2011,Hombres,22924.26,False
G Comercio; reparacion de vehiculos,G,2010,Ambos sexos,19008.19,False
G Comercio; reparacion de vehiculos,G,2010,Mujeres,15964.03,False
G Comercio; reparacion de vehiculos,G,2010,Hombres,22386.69,False
G Comercio; reparacion de vehiculos,G,2009,Ambos sexos,19498.77,False
G Comercio; reparacion de vehiculos,G,2009,Mujeres,16074.16,False
G Comercio; reparacion de vehiculos,G,2009,Hombres,22843.08,False
G Comercio; reparacion de vehiculos,G,2008,Ambos sexos,18545.85,False
G Comercio; reparacion de vehiculos,G,2008,Mujeres,15253.79,False
G Comercio; reparacion de vehiculos,G,2008,Hombres,21673.4,False
H Transporte y almacenamiento,H,2024,Ambos sexos,28910.3,False
H Transporte y almacenamiento,H,2024,Mujeres,28972.27,False
H Transporte y almacenamiento,H,2024,Hombres,28889.39,False
H Transporte y almacenamiento,H,2023,Ambos sexos,27687.67,False
H Transporte y almacenamiento,H,2023,Mujeres,28081.06,False
H Transporte y almacenamiento,H,2023,Hombres,27560.34,False
H Transporte y almacenamiento,H,2022,Ambos sexos,27354.39,False
H Transporte y almacenamiento,H,2022,Mujeres,26569.15,False
H Transporte y almacenamiento,H,2022,Hombres,27598.32,False
H Transporte y almacenamiento,H,2021,Ambos sexos,25545.48,False
H Transporte y almacenamiento,H,2021,Mujeres,24286.3,False
H Transporte y almacenamiento,H,2021,Hombres,25939.1,False
H Transporte y almacenamiento,H,2020,Ambos sexos,25033.4,False
H Transporte y almacenamiento,H,2020,Mujeres,24082.98,False
H Transporte y almacenamiento,H,2020,Hombres,25336.12,False
H Transporte y almacenamiento,H,2019,Ambos sexos,24368.8,False
H Transporte y almacenamiento,H,2019,Mujeres,22868.25,False
H Transporte y almacenamiento,H,2019,Hombres,24852.57,False
H Transporte y almacenamiento,H,2018,Ambos sexos,24653.86,False
H Transporte y almacenamiento,H,2018,Mujeres,22595.67,False
H Transporte y almacenamiento,H,2018,Hombres,25274.9,False
H Transporte y almacenamiento,H,2017,Ambos sexos,24079.84,False
H Transporte y almacenamiento,H,2017,Mujeres,22210.81,False
H Transporte y almacenamiento,H,2017,Hombres,24618.8,False
H Transporte y almacenamiento,H,2016,Ambos sexos,23611.32,False
H Transporte y almacenamiento,H,2016,Mujeres,22176.39,False
