Title,Experience Level,Remote Status,Normalized Salary,Views,Applies,Location,Company Name,Formatted Work Type,Formatted Experience Level,Max Salary,Med Salary,Min Salary,Pay Period,Currency,Zip Code,Fips,City,Original Listed Time
online data analyst,Entry Level,Remote,,23.0,3.0,"beaumont, tx",telus international,Part-time,Entry level,,,,,,77701.0,48245.0,beaumont,1713452667000.0
"data engineer, senior with security clearance",Mid-Senior,Unknown,138800.0,17.0,2.0,"fort belvoir, va",clearancejobs,Part-time,Mid-Senior level,193000.0,,84600.0,YEARLY,USD,22060.0,51059.0,fort belvoir,1713312000000.0
data analyst supporting the fbi with security clearance,Entry Level,Unknown,,11.0,,"washington, dc",clearancejobs,Full-time,Entry level,,,,,,20001.0,11001.0,washington,1713312000000.0
online data analyst,Entry Level,Remote,,26.0,3.0,"killington, vt",telus international,Part-time,Entry level,,,,,,5751.0,50021.0,killington,1713453030000.0
data engineer general,Mid-Senior,Unknown,,32.0,12.0,"dearborn, mi",apex systems,Full-time,Mid-Senior level,,,,,,48120.0,26163.0,dearborn,1713453147000.0
sr data engineer,Mid-Senior,Unknown,,6.0,1.0,"san antonio, tx",apex systems,Full-time,Mid-Senior level,,,,,,78201.0,48029.0,san antonio,1713453146000.0
"senior software engineer, machine learning",Unknown,Unknown,,23.0,4.0,"atlanta, ga",ice,Full-time,,,,,,,30303.0,13121.0,atlanta,1713453413000.0
data analyst,Entry Level,Unknown,,19.0,9.0,"richmond, va",apex systems,Full-time,Entry level,,,,,,23219.0,51760.0,richmond,1713453037000.0
junior data analytics engineer,Unknown,Unknown,,21.0,10.0,"atlanta, ga",ice,Full-time,,,,,,,30303.0,13121.0,atlanta,1713453418000.0
"senior staff machine learning engineer, applied science",Mid-Senior,Remote,,11.0,2.0,"san francisco, ca",dice,Full-time,Mid-Senior level,,,,,,94101.0,6075.0,san francisco,1713398400000.0
senior data engineer,Mid-Senior,Unknown,,6.0,1.0,"boston, ma",dice,Full-time,Mid-Senior level,,,,,,2108.0,25025.0,boston,1713398400000.0
google cloud platform data architect,Mid-Senior,Unknown,,8.0,,"san jose, ca",dice,Full-time,Mid-Senior level,,,,,,95101.0,6085.0,san jose,1713398400000.0
"job opening for ""technical lead- data engineering"" #fulltime role# boston, ma local candidates only",Entry Level,Unknown,,3.0,,"boston, ma",dice,Full-time,Entry level,,,,,,2108.0,25025.0,boston,1713398400000.0
"manager, data analytics",Mid-Senior,Remote,150000.0,211.0,54.0,united states,sightline payments,Full-time,Mid-Senior level,160000.0,,140000.0,YEARLY,USD,,,united states,1713453759000.0
"staff data scientist, ecosystem",Entry Level,Unknown,,4.0,,"san francisco, ca",dice,Full-time,Entry level,,,,,,94101.0,6075.0,san francisco,1713398400000.0
property & casualty insurance - senior data analyst,Mid-Senior,Unknown,,42.0,10.0,"jersey city, nj",verisk,Full-time,Mid-Senior level,,,,,,7302.0,34017.0,jersey city,1713453506000.0
senior data architect,Mid-Senior,Unknown,,34.0,7.0,san francisco bay area,incedo inc.,Full-time,Mid-Senior level,,,,,,,,san francisco bay area,1713454364000.0
cross asset market data analyst,Unknown,Unknown,,18.0,7.0,"atlanta, ga",ice,Full-time,,,,,,,30303.0,13121.0,atlanta,1713453426000.0
"part-time faculty - mba program: marketing, management, supply chain and data analytics",Unknown,Remote,71760.0,107.0,13.0,"aurora, co",colorado state university global,Part-time,,37.0,,32.0,HOURLY,USD,80010.0,8001.0,aurora,1713453516000.0
support data engineer,Mid-Senior,Unknown,,226.0,88.0,"tampa, fl",motion recruitment,Contract,Mid-Senior level,,,,,,33602.0,12057.0,tampa,1713453636000.0
data analyst,Unknown,Remote,,144.0,36.0,denver metropolitan area,dataannotation,Contract,,,,,,,,,denver metropolitan area,1713453806000.0
data engineer,Mid-Senior,Remote,125000.0,530.0,201.0,united states,denver corporate search | dcs,Contract,Mid-Senior level,150000.0,,100000.0,YEARLY,USD,,,united states,1713454205000.0
data architect (snowflake and azure),Mid-Senior,Unknown,,57.0,17.0,"chicago, il",cloudious llc,Contract,Mid-Senior level,,,,,,60601.0,17031.0,chicago,1713454087000.0
staff data engineer - people & finance tech (remote),Mid-Senior,Remote,173250.0,28.0,4.0,"chevy chase, md",geico,Full-time,Mid-Senior level,236500.0,,110000.0,YEARLY,USD,20815.0,24031.0,chevy chase,1713453654000.0
business data analyst - loans transformation,Mid-Senior,Unknown,,106.0,14.0,"new york, ny",motion recruitment,Contract,Mid-Senior level,,,,,,10001.0,36061.0,new york,1713453665000.0
data analyst,Entry Level,Remote,,10.0,3.0,new york city metropolitan area,coders data,Full-time,Entry level,,,,,,,,new york city metropolitan area,1713454939000.0
data analyst/project manager,Mid-Senior,Unknown,,160.0,45.0,"new york, united states",mitchell martin inc.,Contract,Mid-Senior level,,,,,,,,new york,1713454792000.0
data scientist i,Mid-Senior,Remote,101000.0,70.0,20.0,united states,cotiviti,Full-time,Mid-Senior level,109000.0,,93000.0,YEARLY,USD,,,united states,1713455216000.0
data analyst,Mid-Senior,Unknown,104000.0,351.0,168.0,"bellevue, wa",matrix finance and accounting,Contract,Mid-Senior level,55.0,,45.0,HOURLY,USD,98004.0,53033.0,bellevue,1713455276000.0
azure data architect,Unknown,Remote,,40.0,11.0,united states,lenora systems inc,Full-time,,,,,,,,,united states,1713455993000.0
data analyst,Unknown,Remote,,164.0,31.0,greater orlando,dataannotation,Contract,,,,,,,,,greater orlando,1713455315000.0
data analyst,Mid-Senior,Unknown,68640.0,308.0,110.0,"columbia, south carolina metropolitan area",altum solutions,Contract,Mid-Senior level,,33.0,,HOURLY,USD,,,columbia,1713456724000.0
data analyst,Unknown,Remote,,166.0,33.0,new york city metropolitan area,dataannotation,Contract,,,,,,,,,new york city metropolitan area,1713456031000.0
lead data engineer,Unknown,Unknown,,135.0,54.0,"richardson, tx",ms tech partners,Contract,,,,,,,75080.0,48113.0,richardson,1713455970000.0
business intelligence developer,Mid-Senior,Unknown,,109.0,24.0,"mount pleasant, pa",engine,Full-time,Mid-Senior level,,,,,,15666.0,42129.0,mount pleasant,1713456098000.0
engagement manager - analytics (onsite),Mid-Senior,Unknown,135000.0,88.0,14.0,"thousand oaks, ca",cognizant,Full-time,Mid-Senior level,140000.0,,130000.0,YEARLY,USD,91360.0,6111.0,thousand oaks,1713456278000.0
data scientist,Mid-Senior,Remote,,328.0,124.0,"des moines, ia",skywalk global,Contract,Mid-Senior level,,,,,,50307.0,19153.0,des moines,1713456392000.0
"hadoop developer (hadoop, hive, hbase, rdbms, sql, etl, data analytics, data mapping, data mining, sql)",Unknown,Unknown,110000.0,94.0,22.0,"charlotte, nc","pyramid consulting, inc",Full-time,,130000.0,,90000.0,YEARLY,USD,28202.0,37119.0,charlotte,1713455885000.0
business intelligence engineer,Associate,Unknown,,33.0,12.0,nashville metropolitan area,affinity search partners,Full-time,Associate,,,,,,,,nashville metropolitan area,1713456388000.0
data scientists,Unknown,Remote,,90.0,23.0,united states,libsys inc,Contract,,,,,,,,,united states,1713456644000.0
executive director of advanced analytics (clinical technology),Director,Unknown,220000.0,18.0,3.0,"durham, nc",fortrea,Full-time,Director,280000.0,,160000.0,YEARLY,USD,27701.0,37063.0,durham,1713456445000.0
data scientist intern (monetization product and technology-strategy and data science-global data science-performance ads ) - 2024 off-cycle (bs/ms),Unknown,Unknown,45.0,42.0,8.0,"san jose, ca",tiktok,Full-time,,45.0,,45.0,YEARLY,USD,95101.0,6085.0,san jose,1713456599000.0
data analyst,Associate,Remote,90000.0,85.0,,"kearney, mo",cornerstone building brands,Full-time,Associate,95000.0,,85000.0,YEARLY,USD,64060.0,29047.0,kearney,1713456701000.0
"machine learning engineer, search ads - usds",Unknown,Unknown,143575.0,4.0,,"seattle, wa",tiktok,Full-time,,168150.0,,119000.0,YEARLY,USD,98101.0,53033.0,seattle,1713456590000.0
data architect,Mid-Senior,Unknown,,31.0,7.0,"houston, tx",galactic minds inc,Contract,Mid-Senior level,,,,,,77002.0,48201.0,houston,1713457205000.0
